course,title,group,units,classification,description,prerequisites,corequisites,recommended,repeatability,grading,instructional_methods,typically_offered,credit_restrictions,breadth,learning_outcomes,last_proposal,proposal_count,findings_technical,findings_content
MUS 115,Aural Skills I,Music: Theory and Musicianship,1,C10 1u,"Development of music reading skills applicable to all instrumental and vocal performance media. Dictation, analysis and singing of melodies and melodic exercises; study and performance of basic rhythmic materials.",,MUS 111 and MUS 118A.,,,A-F or CR/NC (student choice).,On-ground.,Spring ONLY,,,"1. Read, write, and analyze music, with correct terminology and nomenclature. | 2. Perform melodies and rhythms of musical examples accurately. | 3. Take melodic, harmonic, and rhythmic dictation appropriate to the level of music examples being performed in class. | 4. Implement the principles and concepts studied in class via performance on your major instrument or voice.",2016-05-05,1,"last revised 2016-05-05, still on the 2016 conversion form; requires MUS 118A, renumbered or discontinued","outcomes, from the syllabus: 1. Sight-sing diatonic melodies in major keys and simple meters using solfège or scale degrees, with accurate pitch, rhythm, and conducting. 2. Take melodic and rhythmic dictation in simple meters, notating pitch and rhythm accurately, including ties and the dotted beat. 3. Detect and correct errors in performed and notated examples. 4. Read fluently across all fifteen major keys."
MUS 116,Aural Skills II,Music: Theory and Musicianship,1,C10 1u,"Development of music reading skills applicable to all instrumental and vocal performance media. Dictation, analysis and singing of melodies and melodic exercises; study and performance of basic rhythmic materials.",MUS 115.,MUS 112 and MUS 118B.,,,A-F or CR/NC (student choice).,On-ground.,Variable Intermittently,,,"1. Read, write, and analyze music, with correct terminology and nomenclature. | 2. Perform melodies and rhythms of musical examples accurately. | 3. Take melodic, harmonic, and rhythmic dictation appropriate to the level of music examples being performed in class. | 4. Implement the principles and concepts studied in class via performance on your major instrument or voice.",2016-05-05,1,"last revised 2016-05-05, still on the 2016 conversion form; requires MUS 118B, renumbered or discontinued","outcomes, from the syllabus: 1. Sight-sing diatonic melodies in minor mode, approached through both relative and parallel major and including chromatic 6 and 7 by modal borrowing, and in compound meters, using solfège or scale degrees. 2. Take melodic and rhythmic dictation extending to triplets and duplets, quadruple division in simple meter, sextuple division in compound meter, and syncopation. 3. Perform lower chromatic neighbors and melodic skips to chord tones as prefix neighbors through the tonic, dominant, and subdominant triads. 4. Sing the dominant seventh chord in melodic context."
MUS 118,Keyboard Musicianship I,Music: Theory and Musicianship,1,C10 1u,"Group instruction in piano for music majors. Emphasis on reading from staff notation, technique, keyboard harmony, improvisation, and repertoire.",,,,,A-F or CR/NC (student choice).,On-ground.,Spring ONLY,,,"1. Perform major and minor pentascales in all keys | 2. Perform all major scales and arpeggios, 2 octaves. | 3. Perform a basic chord progression in multiple major keys. | 4. Perform major triads and inversions. | 5. Provide basic harmonization to simple melodies. | 6. Transpose simple melodies with accompaniment. | 7. Improve reading and sight-reading abilities at the keyboard. | 8. Prepare repertoire for public performance in front of peers and instructor | 9. Improvise appropriately leveled patterns within clearly defined parameters",2023-02-13,2,,"outcomes, from the syllabus: 1. Perform major and minor five-finger patterns and their triads in all common keys. 2. Perform all four triad qualities (major, minor, augmented, diminished) in root position. 3. Play major scales in tetrachord position with correct fingering, and use the damper pedal. 4. Harmonize simple melodies using basic diatonic chords. 5. Sight-read short examples in grand staff at a basic level."
MUS 119,Keyboard Musicianship II,Music: Theory and Musicianship,1,C10 1u,"Group instruction in piano for music majors. Emphasis on reading from staff notation, technique, keyboard harmony, improvisation, and repertoire.",,,,,A-F or CR/NC (student choice).,On-ground.,Fall ONLY,,,"1. Identify and perform major and minor scales | 2. Identify and perform major and minor arpeggios | 3. Analyze, identify, and perform various types of chords and inversions | 4. Analyze and perform diatonic chord progressions involving primary chords | 5. Provide harmonization to short melodies using diatonic chords | 6. Sing melodies while playing two-hand accompaniments | 7. Realize harmonies using lead-sheet symbols and Roman numerals | 8. Transpose short musical examples to other keys | 9. Sight-reading musical examples in grand staff, four to eight bars, hands together | 10. Prepare and perform repertoire in front of peers and instructor | 11. Improvise appropriately leveled patterns within clearly defined parameters | 12. Play multi-keyboard ensemble pieces",2023-02-13,2,,"outcomes, from the syllabus: 1. Perform major and minor scales and arpeggios across Group 1 and Group 2 keys, two octaves. 2. Play triads in all inversions and perform the dominant seventh chord in block and broken patterns. 3. Harmonize short melodies using primary chords (I, IV, V⁷) in major and minor, with idiomatic accompaniment patterns including Alberti and waltz bass. 4. Sing a melody while playing a two-hand accompaniment. 5. Realize basic lead-sheet symbols and Roman numerals at the keyboard. 6. Sight-read in grand staff, hands together, in four-to-eight-bar examples."
MUS 121,Music Through the Ages,Music: Courses for Non-Music Majors,3,C02 3u,"This course explores the music of the United States, including folk, religious, jazz and pop music, world music, and European art music. You will improve your ability to listen to music intelligently and deepen your understanding of musical context.",,,,,A-F or CR/NC (student choice).,Online-Asynchronous.,Fall & Spring,,GE-3A - Arts,"1. Apply a range of general and specialized terms relating to the study of music; | 2. demonstrate an in-depth familiarity with several major musical traditions in the Western world and beyond; | 3. explain ways in which musical expressions relate to the value systems and thought processes of the cultures that create and sustain them; and | 4. describe one’s aesthetic experience of music in ways that capture one’s imagination, sensitivity, and emotional responses to the sounds heard. GE-3A. Arts Learning Outcomes | 5. Evaluate the impact of the arts on their life. | 6. Examine the cultural and/or historical context(s) of the arts. | 7. Describe the ways that diverse identities influence the creation and experience of art. | 8. Identify the role of art in diverse settings.",2025-09-15,6,,
MUS 202,Writing About Music,Music: Business and Entrepreneurship,3,C02,"This course is designed to help students develop academic writing skills in the context of music. Students will learn to analyze, synthesize, evaluate and write critically about topics in music. This class will also address music research tools and resources.",Completion of GE Area 1A with grade C- (CR) or better (GE Area A2 for students on the 2024-25 or,,MUS 108 and/or MUS 111.,,A-F grading only.,Hybrid.,,,Second Composition,"1. Describe the formal and affective qualities of a work of music with clear prose. | 2. Analyze musical concepts in an organized essay, using formal, stylistic, or sociopolitical criteria. | 3. Summarize the ideas of another author (critic, historian, musician) writing about music. | 4. Create a cover letter using appropriate professional criteria. Second English Composition Learning Outcomes | 5. Write for at least two different audiences (e.g. academic, general, and/or professional). | 6. Engage in writing for specific purposes (e.g. critical thinking, analytical writing, informal writing, and/or research). | 7. Apply critical thinking and logical reasoning in the development and organization of ideas in written texts. | 8. Consider multiple perspectives using primary and/or secondary sources, and when appropriate, incorporate key disciplinary concepts when presenting ideas in writing. | 9. Revise writing with critical feedback provided by the instructor at important junctures throughout the semester in order to improve development, clarity, coherence, and correctness.",2020-10-06,2,,
MUS 211,Music Theory III,Music: Theory and Musicianship,2,C09 2u,"The last of three intensive courses that introduce students to the inner workings of European art music of the 18th and 19th centuries. This course will cover chromatic harmony, tonicization and modulation and other advanced tonal procedures.",MUS 112.,"MUS 215, MUS 218.","MUS 116, MUS 119.",,A-F or CR/NC (student choice).,On-ground.,Variable Intermittently,,,"1. Demonstrate skill in chromatic harmony and voiceleading and advanced tonal procedures. | 2. Read, write, analyze, and discuss music, with correct terminology and nomenclature. | 3. Discuss and evaluate music, from an aesthetic and technical point of view. | 4. Implement the principles and concepts studied in class via performance on your major instrument or voice.",2019-08-07,2,classified C09 large group where MUS 111 and MUS 112 are C10 small group; published description differs from the record,"description: The last of three intensive courses that introduce students to the inner workings of European art music of the 18th and 19th centuries. This course covers chromatic harmony, tonicization and modulation, and other advanced tonal procedures. || outcomes, from the syllabus: 1. Write and analyze chromatic harmony, including applied dominants, modal mixture, the Neapolitan sixth, augmented sixth chords, and altered chords. 2. Identify and compose modulations to the dominant and to closely related keys. 3. Analyze chromatic sequences and chromatic modulation. 4. Evaluate tonal works combining diatonic and chromatic vocabulary in extended harmonic contexts. 5. Apply chromatic harmonic vocabulary at the keyboard and in performance on the student's primary instrument or voice."
MUS 215,Aural Skills III,Music: Theory and Musicianship,1,C10 1u,"Development of music reading skills applicable to all instrumental and vocal performance media. Melodic, rhythmic and harmonic dictation, analysis and singing of melodies and melodic exercises; study and performance of basic rhythmic materials.",MUS 112 and MUS 116.,MUS 211.,,,A-F or CR/NC (student choice).,On-ground.,Variable Intermittently,,,"1. Read, write, and analyze music, with correct terminology and nomenclature. | 2. Perform melodies and rhythms of musical examples accurately. | 3. Take melodic, harmonic, and rhythmic dictation appropriate to the level of music examples being performed in class. | 4. Implement the principles and concepts studied in class via performance on your major instrument or voice.",2016-05-10,1,"last revised 2016-05-10, still on the 2016 conversion form","outcomes, from the syllabus: 1. Sing and hear harmonically, following harmonic rhythm and cadences. 2. Work in two-voice textures and take bass-line dictation. 3. Identify root-position and first-inversion triads and all four triad qualities by ear, and sing melodic skips through every diatonic triad (leading-tone, supertonic, submediant, and mediant). 4. Handle the dominant seventh chord in harmonic context, with the voice-leading techniques that close the lower-division sequence."
MUS 218,Keyboard Musicianship III,Music: Theory and Musicianship,1,C10 1u,"Group instruction in piano for music majors. Emphasis on reading from staff notation, technique, keyboard harmony, improvisation, and repertoire.",,,,,A-F or CR/NC (student choice).,On-ground.,Spring ONLY,,,"1. Identify and perform major and minor scales | 2. Identify and perform major and minor arpeggios | 3. Analyze, identify, and perform various types of chords and inversions | 4. Analyze and perform diatonic chord progressions involving primary chords | 5. Provide harmonization to short melodies using diatonic chords | 6. Sing melodies while playing two-hand accompaniments | 7. Realize harmonies using lead-sheet symbols and Roman numerals | 8. Transpose short musical examples to other keys | 9. Sight-reading musical examples in grand staff, four to eight bars, hands together | 10. Prepare and perform repertoire in front of peers and instructor | 11. Improvise appropriately leveled patterns within clearly defined parameters | 12. Play multi-keyboard ensemble pieces",2023-02-13,2,,"outcomes, from the syllabus: 1. Perform major and minor scales and arpeggios across all key groups, and play chromatic, whole-tone, and blues scales. 2. Perform secondary triads (ii, iii, vi) and seventh chords in harmonic context, with correct voice leading. 3. Play melodies and accompaniments in all six church modes. 4. Harmonize melodies using the full diatonic vocabulary including secondary chords. 5. Transpose short examples to other keys and improvise within defined modal and harmonic frameworks. 6. Prepare and perform repertoire from Alfred's Book 1 for peers and instructor."
MUS 231,Basic String Techniques,Music: Music Education,1,C10 1u,"Presents pedagogy and techniques for teaching violin, viola, cello, and bass in a school ensemble setting.",,,,,A-F or CR/NC (student choice).,On-ground.,Variable Intermittently,,,"1. Learn the basic skills and mechanics involved with playing the violin, viola, cello, and double bass. | 2. Perform scales, studies, and solo material appropriate to elementary-level students. | 3. Implement pedagogical techniques and examine common issues/difficulties appropriate to beginning string students. | 4. Survey and analyze pedagogical materials, e.g. methods and solo literature, for elementary string students.",2025-09-14,2,,
MUS 232,Basic Woodwind Techniques,Music: Music Education,1,C10 1u,"Presents pedagogy and techniques for developing performance ability on flute, clarinet, saxophone, oboe, and bassoon.",,,,,A-F or CR/NC (student choice).,On-ground.,Variable Intermittently,,,"1. Learn the basic skills and mechanics involved with playing the flute, clarinet, saxophone, oboe, and bassoon. | 2. Perform scales, studies, and solo material appropriate to elementary-level students. | 3. Implement pedagogical techniques and examine common issues/difficulties appropriate to beginning woodwind students. | 4. Survey and analyze pedagogical materials, e.g. methods and solo literature, for elementary woodwind students.",2025-09-14,2,,
MUS 233,Basic Brass Techniques,Music: Music Education,1,C10 1u,"Presents pedagogy and techniques for developing performance ability on trumpet, French horn, trombone, and tuba.",,,,,A-F or CR/NC (student choice).,On-ground.,Variable Intermittently,,,"1. Learn the basic skills and mechanics involved with playing the trumpet, French horn, trombone, and tuba. | 2. Perform scales, studies, and solo material appropriate to elementary-level brass students. | 3. Implement pedagogical techniques and examine common issues/difficulties appropriate to beginning brass students. | 4. Survey and analyze pedagogical materials, e.g. methods and solo literature, for elementary brass students.",2025-09-14,2,,
MUS 234,Basic Percussion Techniques,Music: Music Education,1,C10 1u,Presents pedagogy and techniques for developing performance ability on percussion instruments.,,,,,A-F or CR/NC (student choice).,On-ground.,Variable Intermittently,,,"1. Learn the basic skills and mechanics involved with playing and teaching percussion instruments in a school setting. | 2. Perform scales, studies, and solo material appropriate to elementary-level students. | 3. Implement pedagogical techniques and examine common issues/difficulties appropriate to beginning percussion students. | 4. Survey and analyze pedagogical materials, e.g. methods and solo literature, for elementary percussion students.",2025-09-14,2,,
MUS 235,Basic Guitar Techniques,Music: Music Education,1,C10 1u,Fundamentals of playing guitar with emphasis on developing competencies sufficient to employ the instrument in an educational setting.,,,,,A-F or CR/NC (student choice).,On-ground.,Variable Intermittently,,,"1. Learn the basic skills and mechanics involved with playing the guitar and using the guitar as an accompanying instrument. | 2. Perform scales, chords, and solo material appropriate for beginning guitar student. | 3. Implement pedagogical techniques and examine common issues/difficulties appropriate to beginning guitarists. | 4. Survey and analyze pedagogical materials, e.g. methods and solo literature, for beginning guitar students.",2016-05-01,1,"last revised 2016-05-01, still on the 2016 conversion form",
MUS 236,Basic Vocal Techniques,Music: Music Education,1,C10 1u,Class instruction in fundamentals of singing.,,,,,A-F or CR/NC (student choice).,On-ground.,Variable Intermittently,,,"1. Improve singing through regular practicing of vocal exercises and songs. | 2. Be come familiar with significant sources on vocal pedagogy and the art of singing. | 3. Demonstrate an understanding of the basics of breathing, posture, and good vocal tone production. | 4. Perform vocal music in solo and ensemble settings, demonstrating proper technique. | 5. Gain knowledge of vocal warm-ups and techniques for healthy vocal music as appropriate to a school setting.",2016-05-01,1,"last revised 2016-05-01, still on the 2016 conversion form",
MUS 238,Band: Concert Band Workshop,Music: Music Education,1,C10 1u,"Beginning Inclusive Collegiate Band that is open to all students with instrumental experience. Led by music education majors, the ensemble performs repertoire designed to foster musical growth, practical teaching skills, and collaborative performance.",,,1 year experience on a band instrument or successful completion of Basic,May be repeated for credit for a maximum of 4 units.,A-F or CR/NC (student choice).,On-ground.,,May not be used to satisfy chamber ensemble requirement for BA in music.,,"1. Demonstrate developing proficiency on an instrument through consistent participation in an ensemble setting. | 2. Perform elementary-level repertoire appropriate for K-12 school ensembles with accuracy, expression, and ensemble awareness. | 3. Apply fundamental conducting and rehearsal techniques in a live ensemble context. | 4. Integrate prior knowledge of instrumental techniques into a heterogeneous group performance setting. | 5. Collaborate effectively with peers to foster musical growth, ensemble cohesion, and inclusive musicianship.",2025-09-14,2,,
MUS 261,Applied Study: Piano,Music: Applied Study (LD),1,C36 1u,Individual instruction for music majors or minors at the Lower Division performance level. Students demonstrate progress before a faculty jury at the end of each semester. A failed jury results in a failing grade for the course. Audition required.,,Minimum of one course from the MUS 351-355 series.,,May be repeated for credit for a maximum of 4 units.,A-F grading only.,On-ground.,Fall & Spring,,,"1. Develop technical skills through pedagogically appropriate repertoire, exercises, and drills. | 2. Improve knowledge and awareness of musical style and performance practice. | 3. Develop effective strategies for learning new repertoire, solving musical problems, and increasing facility at the keyboard. | 4. Bring a prescribed group of works to a performance-level standard of completion.",2022-02-22,1,repeat cap of 4 units where the individual lower division applied norm is 8,description: Individual instruction for music majors or minors at the lower division performance level. Audition required. Students demonstrate progress before a faculty jury each semester. Jury requirements appear in the Music Student Handbook.
MUS 261G,Group Applied Study: Piano,Music: Applied Study (LD),1,C10 1u,Group applied instruction in piano at the Lower Division performance level.,MUS 111.,,Ability to read music.,May be repeated for credit for a maximum of 4 units.,A-F or CR/NC (student choice).,On-ground.,Fall & Spring,,,"1. Develop technical skills through pedagogically appropriate repertoire, exercises, and drills. | 2. Improve knowledge and awareness of musical style and performance practice | 3. Develop effective strategies for learning new repertoire, solving musical problems, and increasing facility at the keyboard. | 4. Bring a prescribed group of works to a performance-level standard of completion. | 5. Work with other musicians to refine musical performance in a collaborative environment",2022-02-22,1,prerequisite of MUS 111 where MUS 262G and MUS 263G require none,
MUS 262,Applied Study: Voice,Music: Applied Study (LD),1,C36 1u,Individual instruction for music majors or minors at the Lower Division performance level. Students demonstrate progress before a faculty jury at the end of each semester. A failed jury results in a failing grade for the course. Audition required.,,Minimum of one course from the MUS 351-355 series.,,May be repeated for credit for a maximum of 8 units.,A-F grading only.,On-ground.,Fall & Spring,,,"1. Develop technical skills through pedagogically appropriate repertoire, exercises, and drills. | 2. Improve knowledge and awareness of musical style and performance practice. | 3. Develop effective strategies for learning new repertoire, solving musical problems, and increasing facility in singing. | 4. Bring a prescribed group of works to a performance-level standard of completion.",2022-02-22,2,,description: Individual instruction for music majors or minors at the lower division performance level. Audition required. Students demonstrate progress before a faculty jury each semester. Jury requirements appear in the Music Student Handbook.
MUS 262G,Group Applied Study: Voice,Music: Applied Study (LD),1,C10 1u,Group applied instruction in voice at the Lower Division performance level. Students will learn basic vocal techniques and perform repertoire for solo voice.,,,Ability to read music.,May be repeated for credit for a maximum of 4 units.,A-F or CR/NC (student choice).,On-ground.,Fall & Spring,,,"1. Develop technical skills through pedagogically appropriate repertoire, exercises, and drills. Improve knowledge and awareness of musical style and performance practice. | 2. Develop effective strategies for learning new repertoire, solving musical problems, and increasing facility in singing. | 3. Bring a prescribed group of works to a performance-level standard of completion. | 4. Work with other musicians to refine musical performance in a collaborative environment.",2022-02-22,1,,outcomes 1 and 2 are merged into a single numbered item: separate them to match the rest of the series
MUS 263,Applied Study: Strings,Music: Applied Study (LD),1,C36 1u,"Individual instruction for music majors or minors at the Lower Division performance level. Students demonstrate progress before a faculty jury at the end of each semester, please refer to the Music Student Handbook for detailed information. Instruction offered in violin, viola, cello, bass, guitar, or harp.",,Minimum of one course from the MUS 351-355 series.,,May be repeated for credit for a maximum of 8 units.,A-F grading only.,On-ground.,Fall & Spring,,,"1. Develop technical skills through pedagogically appropriate repertoire, exercises, and drills. | 2. Improve knowledge and awareness of musical style and performance practice. | 3. Develop effective strategies for learning new repertoire, solving musical problems, and increasing facility on the violin. | 4. Bring a prescribed group of works to a performance-level standard of completion.",2022-02-22,2,"description runs to 46 words, over the 40-word limit","description: Individual instruction for music majors or minors at the lower division performance level, offered in violin, viola, cello, bass, guitar, or harp. Students demonstrate progress before a faculty jury each semester. Jury requirements appear in the Music Student Handbook. || outcome 3 names the violin in a course covering violin, viola, cello, bass, guitar, and harp: replace with facility on the student's instrument"
MUS 263G,Group Applied Study: Guitar,Music: Applied Study (LD),1,C10 1u,Group applied instruction in guitar at the Lower Division performance level. Students will learn basic guitar techniques and perform solo and group repertoire.,,,Ability to read music.,May be repeated for credit for a maximum of 4 units.,A-F or CR/NC (student choice).,On-ground.,Fall & Spring,,,"1. Develop technical skills through pedagogically appropriate repertoire, exercises, and drills. | 2. Improve knowledge and awareness of musical style and performance practice. | 3. Develop effective strategies for learning new repertoire, solving musical problems, and increasing facility in playing the guitar. | 4. Bring a prescribed group of works to a performance-level standard of completion. | 5. Work with other musicians to refine musical performance in a collaborative environment.",2022-02-22,1,,
